"gCYP2C19","Control","GOF","LOF","Mixed","p"
"","(N=2476)","(N=83)","(N=3641)","(N=45)",""
"Age                            ","64.4 ± 10.7","61.7 ± 11.8","64.6 ± 10.8","62.6 ± 10.9","0.049"
"Sex                            ","","","","","0.118"
"  - F                          ","841 (34.0%)","23 (27.7%)","1283 (35.2%)","10 (22.2%)",""
"  - M                          ","1635 (66.0%)","60 (72.3%)","2358 (64.8%)","35 (77.8%)",""
"Dx                             ","","","","","0.057"
"  - 1                          ","847 (39.1%)","33 (40.2%)","1275 (40.1%)","15 (33.3%)",""
"  - 2                          ","631 (29.1%)","25 (30.5%)","973 (30.6%)","15 (33.3%)",""
"  - 3                          ","316 (14.6%)","7 ( 8.5%)","398 (12.5%)","8 (17.8%)",""
"  - 4                          ","240 (11.1%)","11 (13.4%)","298 ( 9.4%)","6 (13.3%)",""
"  - 5                          ","115 ( 5.3%)","3 ( 3.7%)","203 ( 6.4%)","1 ( 2.2%)",""
"  - Silent myocardial ischemia ","18 ( 0.8%)","3 ( 3.7%)","32 ( 1.0%)"," 0 ( 0.0%)",""
"Smoking                        ","","","","","1.000"
"  - 0                          ","1410 (56.9%)","48 (57.8%)","2009 (55.2%)","25 (55.6%)",""
"  - 1                          ","568 (22.9%)","18 (21.7%)","863 (23.7%)","10 (22.2%)",""
"  - 2                          ","498 (20.1%)","17 (20.5%)","769 (21.1%)","10 (22.2%)",""
"  - Unknown                    "," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)",""
"HTN                            ","","","","","1.000"
"  - 0                          ","935 (37.8%)","38 (45.8%)","1416 (38.9%)","20 (44.4%)",""
"  - 1                          ","1541 (62.2%)","45 (54.2%)","2225 (61.1%)","25 (55.6%)",""
"  - Unknown                    "," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)",""
"CYP2C19                        ","","","","","0.000"
"  - *1/*1                      ","2476 (100.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)",""
"  - *1/*17                     "," 0 ( 0.0%)","83 (100.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)",""
"  - *1/*2                      "," 0 ( 0.0%)"," 0 ( 0.0%)","2101 (57.7%)"," 0 ( 0.0%)",""
"  - *1/*3                      "," 0 ( 0.0%)"," 0 ( 0.0%)","721 (19.8%)"," 0 ( 0.0%)",""
"  - *2/*17                     "," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)","35 (77.8%)",""
"  - *2/*2                      "," 0 ( 0.0%)"," 0 ( 0.0%)","442 (12.1%)"," 0 ( 0.0%)",""
"  - *2/*3                      "," 0 ( 0.0%)"," 0 ( 0.0%)","313 ( 8.6%)"," 0 ( 0.0%)",""
"  - *3/*17                     "," 0 ( 0.0%)"," 0 ( 0.0%)"," 0 ( 0.0%)","10 (22.2%)",""
"  - *3/*3                      "," 0 ( 0.0%)"," 0 ( 0.0%)","64 ( 1.8%)"," 0 ( 0.0%)",""
"HB                             ","13.5 ±  1.9","13.6 ±  1.8","13.5 ±  1.9","13.4 ±  1.9","0.976"
"CLOP                           ","","","","","0.654"
"  - 0                          ","33 ( 1.5%)"," 0 ( 0.0%)","53 ( 1.7%)","1 ( 2.2%)",""
"  - 1                          ","2134 (98.5%)","82 (100.0%)","3126 (98.3%)","44 (97.8%)",""
"PCI_DATE                       ","2003-07-09-2018-05-12","2003-07-09-2018-05-12","2003-07-09-2018-05-12","2003-07-09-2018-05-12",""
